language,length_bin,accuracy,precision,recall,macro_f1,weighted_f1,machine_support,false_negatives,false_negative_rate,support
__all__,5-9,0.48148148148148145,0.0,0.0,0.325,0.31898148148148153,55,55,1.0,108
__all__,10-19,0.4943181818181818,0.5,0.011235955056179775,0.34049092669782327,0.3368714618714619,89,88,0.9887640449438202,176
__all__,20-39,0.49122807017543857,1.0,0.02247191011235955,0.3486712490696554,0.3361975272228994,89,87,0.9775280898876404,171
__all__,40-79,0.5042016806722689,0.0,0.0,0.33519553072625696,0.3492793765550913,57,57,1.0,119
__all__,80+,0.6538461538461539,1.0,0.1,0.48115299334811534,0.5502302575473308,10,9,0.9,26
afr,5-9,0.45714285714285713,0.0,0.0,0.3137254901960784,0.30476190476190473,18,18,1.0,35
afr,10-19,0.49056603773584906,0.0,0.0,0.3291139240506329,0.3353236207308335,26,26,1.0,53
afr,20-39,0.4909090909090909,1.0,0.034482758620689655,0.35833333333333334,0.34242424242424246,29,28,0.9655172413793104,55
afr,40-79,0.4772727272727273,0.0,0.0,0.3230769230769231,0.3377622377622378,21,21,1.0,44
afr,80+,0.6153846153846154,1.0,0.16666666666666666,0.5112781954887218,0.5286292654713708,6,5,0.8333333333333334,13
eng,5-9,0.47619047619047616,0.0,0.0,0.3225806451612903,0.3072196620583717,11,11,1.0,21
eng,10-19,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,21,21,1.0,42
eng,20-39,0.4647887323943662,1.0,0.02564102564102564,0.33872549019607845,0.31025959679646503,39,38,0.9743589743589743,71
eng,40-79,0.5283018867924528,0.0,0.0,0.345679012345679,0.36524574889354766,25,25,1.0,53
eng,80+,0.6923076923076923,0.0,0.0,0.4090909090909091,0.5664335664335665,4,4,1.0,13
zul,5-9,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,26,26,1.0,52
zul,10-19,0.49382716049382713,1.0,0.023809523809523808,0.35098690639046315,0.33971004422440815,42,41,0.9761904761904762,81
zul,20-39,0.5333333333333333,0.0,0.0,0.34782608695652173,0.3710144927536232,21,21,1.0,45
zul,40-79,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,11,11,1.0,22
